variant,run_name,ray_job,tp,ep,cp,num_rollout,rollout_batch_size,n_samples_per_prompt,global_batch_size,rollout_max_response_len,max_tokens_per_gpu,vllm_gpu_memory_utilization,vime_rl_kernel,vime_rl_kernel_ops,vime_rl_kernel_strict,rl_kernel_backend,rl_kernel_precompiled_sm90,rollout/raw_reward,rollout/rewards,rollout/response_lengths,rollout/truncated,rollout/rollout_log_probs,rollout/ref_log_probs,rollout/kl,train/train_rollout_logprob_abs_diff,train/loss,train/entropy_loss,train/rl_kernel_fallback_count,train/grad_norm,perf/rollout_time,perf/ref_log_probs_time,perf/actor_train_time,perf/train_time,perf/update_weights_time,perf/step_time,perf/actor_train_tok_per_s,peak_vram_mib,peak_vram_gib
baseline,smoke-baseline-tp8,raysubmit_rUd8WjeLXv4eZxcb,8,8,1,1,1,1,1,128,4096,0.7,0,,0,,no,0.0,0.0,128.0,1.0,-0.18107303977012634,-0.18280041217803955,0.0,0.01125827245414257,0.0,0.15389353036880493,,0.0,7.401980876922607,12.980900764465332,36.332478284835815,49.63279700279236,35.22945737838745,96.99787044525146,9.000211805988497,64363,62.8544921875
candidate,smoke-candidate-tp8,raysubmit_rbz7TUKU3T7U4GPm,8,8,1,1,1,1,1,128,4096,0.7,1,linear_logp,1,FusedLinearLogpSM90Op,yes,0.0,0.0,128.0,1.0,-0.18107303977012634,-0.1828809678554535,0.0,0.013460088521242142,0.0,0.0,0.0,0.0,7.55961799621582,10.400161266326904,33.124114990234375,43.83856415748596,35.25755476951599,90.67167353630066,9.8719618651368,64363,62.8544921875
